iteration,prefix,benchmark,label,ops,elapsed_s,tps
1,so-inline_s5_i1,bench_memtx,INSERT,250000,3.239,77179
1,so-inline_s5_i1,bench_memtx,SELECT_POINT,250000,0.110,2267133
1,so-inline_s5_i1,bench_memtx,SELECT_RANGE,250000,0.882,283490
1,so-inline_s5_i1,bench_memtx,UPDATE,250000,3.742,66807
1,so-inline_s5_i1,bench_memtx,REPLACE,250000,3.806,65693
1,so-inline_s5_i1,bench_memtx,DELETE,250000,2.995,83470
1,so-inline_s5_i1,bench_vinyl,INSERT,100000,1.527,65492
1,so-inline_s5_i1,bench_vinyl,SELECT_POINT,100000,1.566,63864
1,so-inline_s5_i1,bench_vinyl,SELECT_RANGE,100000,0.879,113786
1,so-inline_s5_i1,bench_vinyl,UPDATE,100000,1.672,59824
1,so-inline_s5_i1,bench_vinyl,REPLACE,100000,2.108,47433
1,so-inline_s5_i1,bench_vinyl,DELETE,100000,1.272,78646
1,so-inline_s5_i1,bench_sort_order,plain      INSERT,150000,1.809,82929
1,so-inline_s5_i1,bench_sort_order,plain      SELECT_RANGE,150000,0.525,285588
1,so-inline_s5_i1,bench_sort_order,plain      SELECT_RANGE_REV,150000,0.533,281643
1,so-inline_s5_i1,bench_sort_order,plain      UPDATE,150000,2.257,66463
1,so-inline_s5_i1,bench_sort_order,plain      REPLACE,150000,2.272,66019
1,so-inline_s5_i1,bench_sort_order,plain      DELETE,150000,1.699,88278
1,so-inline_s5_i1,bench_sort_order,all_desc   INSERT,150000,1.709,87752
1,so-inline_s5_i1,bench_sort_order,all_desc   SELECT_RANGE,150000,0.542,276860
1,so-inline_s5_i1,bench_sort_order,all_desc   SELECT_RANGE_REV,150000,0.531,282622
1,so-inline_s5_i1,bench_sort_order,all_desc   UPDATE,150000,1.983,75642
1,so-inline_s5_i1,bench_sort_order,all_desc   REPLACE,150000,2.824,53115
1,so-inline_s5_i1,bench_sort_order,all_desc   DELETE,150000,1.650,90909
1,so-inline_s5_i1,bench_sort_order,mixed      INSERT,150000,1.860,80633
