prefix,benchmark,label,ops,elapsed_s,tps
master_s10_i2,bench_sort_order,plain      INSERT,300000,3.699,81093
master_s10_i2,bench_sort_order,plain      SELECT_RANGE,300000,1.061,282624
master_s10_i2,bench_sort_order,plain      SELECT_RANGE_REV,300000,1.021,293751
master_s10_i2,bench_sort_order,plain      UPDATE,300000,3.572,83987
master_s10_i2,bench_sort_order,plain      REPLACE,300000,4.414,67964
master_s10_i2,bench_sort_order,plain      DELETE,300000,3.543,84666
master_s10_i2,bench_sort_order,all_desc   INSERT,300000,4.230,70915
master_s10_i2,bench_sort_order,all_desc   SELECT_RANGE,300000,1.084,276720
master_s10_i2,bench_sort_order,all_desc   SELECT_RANGE_REV,300000,1.014,295935
master_s10_i2,bench_sort_order,all_desc   UPDATE,300000,4.113,72936
master_s10_i2,bench_sort_order,all_desc   REPLACE,300000,4.760,63031
master_s10_i2,bench_sort_order,all_desc   DELETE,300000,3.544,84657
master_s10_i2,bench_sort_order,mixed      INSERT,300000,4.119,72833
master_s10_i2,bench_sort_order,mixed      SELECT_RANGE,300000,1.071,280047
master_s10_i2,bench_sort_order,mixed      SELECT_RANGE_REV,300000,1.023,293284
master_s10_i2,bench_sort_order,mixed      UPDATE,300000,4.183,71719
master_s10_i2,bench_sort_order,mixed      REPLACE,300000,4.557,65839
master_s10_i2,bench_sort_order,mixed      DELETE,300000,3.352,89509
