prefix,benchmark,label,ops,elapsed_s,tps
so-inline_s1_i1,bench_memtx,INSERT,50000,0.542,92199
so-inline_s1_i1,bench_memtx,SELECT_POINT,50000,0.023,2193039
so-inline_s1_i1,bench_memtx,SELECT_RANGE,50000,0.189,263858
so-inline_s1_i1,bench_memtx,UPDATE,50000,0.605,82605
so-inline_s1_i1,bench_memtx,REPLACE,50000,0.671,74469
so-inline_s1_i1,bench_memtx,DELETE,50000,0.597,83771
so-inline_s1_i1,bench_vinyl,INSERT,20000,0.351,57012
so-inline_s1_i1,bench_vinyl,SELECT_POINT,20000,0.315,63547
so-inline_s1_i1,bench_vinyl,SELECT_RANGE,20000,0.202,99002
so-inline_s1_i1,bench_vinyl,UPDATE,20000,0.352,56868
so-inline_s1_i1,bench_vinyl,REPLACE,20000,0.261,76489
so-inline_s1_i1,bench_vinyl,DELETE,20000,0.245,81714
so-inline_s1_i1,bench_sort_order,plain      INSERT,30000,0.336,89225
so-inline_s1_i1,bench_sort_order,plain      SELECT_RANGE,30000,0.127,236717
so-inline_s1_i1,bench_sort_order,plain      SELECT_RANGE_REV,30000,0.099,303168
so-inline_s1_i1,bench_sort_order,plain      UPDATE,30000,0.476,63019
so-inline_s1_i1,bench_sort_order,plain      REPLACE,30000,0.371,80969
so-inline_s1_i1,bench_sort_order,plain      DELETE,30000,0.331,90740
so-inline_s1_i1,bench_sort_order,all_desc   INSERT,30000,0.414,72529
so-inline_s1_i1,bench_sort_order,all_desc   SELECT_RANGE,30000,0.109,274085
so-inline_s1_i1,bench_sort_order,all_desc   SELECT_RANGE_REV,30000,0.108,276954
so-inline_s1_i1,bench_sort_order,all_desc   UPDATE,30000,0.357,84102
so-inline_s1_i1,bench_sort_order,all_desc   REPLACE,30000,0.406,73875
so-inline_s1_i1,bench_sort_order,all_desc   DELETE,30000,0.334,89876
so-inline_s1_i1,bench_sort_order,mixed      INSERT,30000,0.396,75763
so-inline_s1_i1,bench_sort_order,mixed      SELECT_RANGE,30000,0.110,273536
so-inline_s1_i1,bench_sort_order,mixed      SELECT_RANGE_REV,30000,0.097,309893
so-inline_s1_i1,bench_sort_order,mixed      UPDATE,30000,0.311,96426
so-inline_s1_i1,bench_sort_order,mixed      REPLACE,30000,0.341,87988
so-inline_s1_i1,bench_sort_order,mixed      DELETE,30000,0.333,89999
