prefix,benchmark,label,ops,elapsed_s,tps
so-inline_s1_i6,bench_sort_order,plain      INSERT,30000,0.427,70288
so-inline_s1_i6,bench_sort_order,plain      SELECT_RANGE,30000,0.115,260081
so-inline_s1_i6,bench_sort_order,plain      SELECT_RANGE_REV,30000,0.109,275376
so-inline_s1_i6,bench_sort_order,plain      UPDATE,30000,0.424,70714
so-inline_s1_i6,bench_sort_order,plain      REPLACE,30000,0.326,92004
so-inline_s1_i6,bench_sort_order,plain      DELETE,30000,0.351,85466
so-inline_s1_i6,bench_sort_order,all_desc   INSERT,30000,0.338,88688
so-inline_s1_i6,bench_sort_order,all_desc   SELECT_RANGE,30000,0.104,289311
so-inline_s1_i6,bench_sort_order,all_desc   SELECT_RANGE_REV,30000,0.097,310459
so-inline_s1_i6,bench_sort_order,all_desc   UPDATE,30000,0.285,105172
so-inline_s1_i6,bench_sort_order,all_desc   REPLACE,30000,0.372,80607
so-inline_s1_i6,bench_sort_order,all_desc   DELETE,30000,0.316,95032
so-inline_s1_i6,bench_sort_order,mixed      INSERT,30000,0.340,88334
so-inline_s1_i6,bench_sort_order,mixed      SELECT_RANGE,30000,0.110,273782
so-inline_s1_i6,bench_sort_order,mixed      SELECT_RANGE_REV,30000,0.104,288635
so-inline_s1_i6,bench_sort_order,mixed      UPDATE,30000,0.366,81959
so-inline_s1_i6,bench_sort_order,mixed      REPLACE,30000,0.464,64636
so-inline_s1_i6,bench_sort_order,mixed      DELETE,30000,0.313,95754
